,DATE_TIME,REPLY_SIZE
0,2015-12-12 18:25:11,4263
1,2015-12-12 18:25:11,4494
2,2015-12-12 18:31:08,4263
3,2015-12-12 18:31:08,4494
4,2015-12-12 18:31:25,4263
5,2015-12-12 18:31:25,4494
6,2015-12-12 18:32:10,4263
7,2015-12-12 18:32:11,4494
8,2015-12-12 18:32:56,4263
9,2015-12-12 18:32:56,4494
10,2015-12-12 18:33:51,4263
11,2015-12-12 18:33:52,4494
12,2015-12-12 18:36:16,4263
13,2015-12-12 18:36:16,4494
14,2015-12-12 18:38:42,4263
15,2015-12-12 18:38:42,4494
16,2015-12-12 18:38:55,4263
17,2015-12-12 18:38:56,4494
18,2015-12-12 18:39:27,4263
19,2015-12-12 18:39:27,4494
20,2015-12-12 18:40:58,4263
21,2015-12-12 18:40:58,4494
22,2015-12-12 18:44:48,4263
23,2015-12-12 18:44:48,4494
24,2015-12-12 18:44:53,4263
25,2015-12-12 18:44:53,4494
26,2015-12-12 18:46:21,4263
27,2015-12-12 18:46:21,4494
28,2015-12-12 18:46:25,4263
29,2015-12-12 18:46:25,4494
30,2015-12-12 18:51:08,4263
31,2015-12-12 18:51:08,4494
32,2015-12-12 18:51:25,4263
33,2015-12-12 18:51:25,4494
34,2015-12-12 18:53:10,4263
35,2015-12-12 18:53:11,4494
36,2015-12-12 18:57:24,4263
37,2015-12-12 18:57:24,4494
38,2015-12-12 18:58:50,4263
39,2015-12-12 18:58:51,4494
40,2015-12-12 19:02:35,10439
41,2015-12-12 19:02:35,1725
42,2015-12-12 19:02:36,239
43,2015-12-12 19:02:36,1963
44,2015-12-12 19:02:36,10004
45,2015-12-12 19:02:36,1801
46,2015-12-12 19:02:36,1457
47,2015-12-12 19:02:36,3465
48,2015-12-12 19:02:36,4890
49,2015-12-12 19:02:36,33472
50,2015-12-12 19:02:36,74434
51,2015-12-12 19:02:38,88161
52,2015-12-12 19:02:38,62918
53,2015-12-12 19:02:38,87782
54,2015-12-12 19:02:38,68977
55,2015-12-12 19:02:39,80637
56,2015-12-12 19:02:39,77796
57,2015-12-12 19:02:39,369
58,2015-12-12 19:02:39,94861
59,2015-12-12 19:02:39,43300
60,2015-12-12 19:02:39,43586
61,2015-12-12 19:02:39,55303
62,2015-12-12 19:02:39,21490
63,2015-12-12 19:02:40,65225
64,2015-12-12 19:02:40,57339
65,2015-12-12 19:02:40,39683
66,2015-12-12 19:02:40,5017
67,2015-12-12 19:02:40,69
68,2015-12-12 19:02:40,329961
69,2015-12-12 19:02:40,83
70,2015-12-12 19:02:48,62918
71,2015-12-12 19:02:48,80637
72,2015-12-12 19:02:48,77796
73,2015-12-12 19:02:48,68977
74,2015-12-12 19:02:48,87782
75,2015-12-12 19:02:48,88161
76,2015-12-12 19:02:49,43495
77,2015-12-12 19:03:02,4263
78,2015-12-12 19:03:02,4494
79,2015-12-12 19:04:13,17511
80,2015-12-12 19:09:36,4263
81,2015-12-12 19:09:36,4494
82,2015-12-12 19:12:25,4263
83,2015-12-12 19:12:26,4494
84,2015-12-12 19:17:18,4263
85,2015-12-12 19:17:18,4494
86,2015-12-12 19:20:57,4263
87,2015-12-12 19:20:57,4494
88,2015-12-12 19:23:59,8932
89,2015-12-12 19:24:25,4263
90,2015-12-12 19:24:25,4494
91,2015-12-12 19:28:28,4263
92,2015-12-12 19:28:28,4494
93,2015-12-12 19:29:16,4263
94,2015-12-12 19:29:16,4494
95,2015-12-12 19:31:11,4263
96,2015-12-12 19:31:12,4494
97,2015-12-12 19:31:28,4263
98,2015-12-12 19:31:28,4494
99,2015-12-12 19:37:49,4263
100,2015-12-12 19:37:50,4494
101,2015-12-12 19:38:10,4263
102,2015-12-12 19:38:11,4494
103,2015-12-12 19:40:11,4263
104,2015-12-12 19:40:11,4494
105,2015-12-12 19:43:31,4263
106,2015-12-12 19:43:35,4494
107,2015-12-12 19:44:06,10479
108,2015-12-12 19:44:06,1725
109,2015-12-12 19:44:06,239
110,2015-12-12 19:44:06,10004
111,2015-12-12 19:44:06,1801
112,2015-12-12 19:44:06,1457
113,2015-12-12 19:44:06,3465
114,2015-12-12 19:44:06,1963
115,2015-12-12 19:44:06,4890
116,2015-12-12 19:44:06,33472
117,2015-12-12 19:44:06,74434
118,2015-12-12 19:44:06,369
119,2015-12-12 19:44:07,62918
120,2015-12-12 19:44:07,43586
121,2015-12-12 19:44:07,88161
122,2015-12-12 19:44:08,55303
123,2015-12-12 19:44:08,57339
124,2015-12-12 19:44:09,87782
